iter	RMSE
0	1.196890555
1	1.184694212
2	1.172759805
3	1.161274473
4	1.150373053
5	1.139703308
6	1.129441266
7	1.119254401
8	1.109326817
9	1.09956134
10	1.090055646
11	1.080892315
12	1.072013737
13	1.063492078
14	1.054898896
15	1.046843791
16	1.038943243
17	1.031390982
18	1.024083771
19	1.017083577
20	1.010011074
21	1.003302163
22	0.9966263067
23	0.9903523721
24	0.9842463594
25	0.9782734529
26	0.9726368134
27	0.9671346991
28	0.9615219931
29	0.9558065128
30	0.9501959767
31	0.9448487503
32	0.9397620862
33	0.9347875696
34	0.929966855
35	0.9254579853
36	0.9209160671
37	0.9163544153
38	0.9120076604
39	0.907722238
40	0.9036353834
41	0.899846758
42	0.8960001595
43	0.8923533064
44	0.8886567664
45	0.8850711445
46	0.8817059375
47	0.878414177
48	0.8752626212
49	0.8721513641
50	0.8689674476
51	0.8660065149
52	0.8631322634
53	0.8603519298
54	0.8575730811
55	0.8549917443
56	0.8524920577
57	0.8500246727
58	0.8475765039
59	0.8452954954
60	0.8430919607
61	0.8408262887
62	0.8387705268
63	0.8367735123
64	0.8347493546
65	0.8326702152
66	0.8307907583
67	0.8289896013
68	0.8271396941
69	0.8254427239
70	0.8237761029
71	0.8220418925
72	0.8205755249
73	0.8189189369
74	0.8173207839
75	0.8157944732
76	0.8143928756
77	0.8130418107
78	0.8116973521
79	0.8104769215
80	0.809068141
81	0.8078636648
82	0.8065750647
83	0.805296311
84	0.8039401262
85	0.8026409922
86	0.8012425365
87	0.8001606002
88	0.7989488067
89	0.7978048627
90	0.7968118514
91	0.7956775334
92	0.7946097017
93	0.7935292844
94	0.792661649
95	0.7917094778
96	0.7907671689
97	0.7897708371
98	0.7887154286
99	0.7878788991
100	0.7868667911
101	0.7860075994
102	0.7850662381
103	0.7841152505
104	0.783221265
105	0.7824403702
106	0.7816755997
107	0.780777191
108	0.7798860166
109	0.7791519232
110	0.7783235848
111	0.7775905092
112	0.7768505037
113	0.7761975734
114	0.7754113535
115	0.7747128647
116	0.7740421593
117	0.7733761518
118	0.7722993737
119	0.7712577294
120	0.7703554889
121	0.769493011
122	0.7686072924
123	0.7677564034
124	0.7669325047
125	0.766202226
126	0.7654044824
127	0.7646249192
128	0.7639227784
