iter	Passed	Remaining
0	8	4303
1	15	3965
2	23	3907
3	31	3896
4	38	3810
5	45	3818
6	55	3933
7	67	4169
8	78	4301
9	90	4461
10	107	4818
11	117	4832
12	125	4750
13	135	4747
14	143	4701
15	154	4722
16	165	4741
17	178	4837
18	189	4850
19	199	4840
20	208	4812
21	219	4809
22	229	4800
23	236	4743
24	273	5254
25	338	6238
26	351	6226
27	364	6210
28	372	6121
29	381	6035
30	388	5940
31	395	5847
32	401	5739
33	408	5654
34	414	5569
35	421	5491
36	428	5414
37	433	5330
38	440	5260
39	446	5184
40	452	5125
41	459	5066
42	465	4999
43	472	4952
44	478	4894
45	485	4842
46	491	4793
47	498	4748
48	505	4704
49	512	4660
50	518	4618
51	524	4569
52	530	4524
53	535	4475
54	542	4436
55	549	4407
56	557	4385
57	564	4347
58	570	4312
59	576	4276
60	582	4240
61	624	4460
62	641	4501
63	648	4468
64	655	4435
65	660	4396
66	666	4358
67	672	4321
68	677	4282
69	684	4254
70	691	4226
71	698	4199
72	704	4168
73	711	4141
74	718	4120
75	727	4106
76	736	4091
77	743	4071
78	750	4049
79	758	4028
80	765	4005
81	777	4009
82	783	3985
83	791	3966
84	801	3959
85	809	3942
86	817	3929
87	825	3911
88	831	3887
89	839	3869
90	846	3850
91	852	3827
92	858	3802
93	864	3778
94	871	3761
95	876	3735
96	883	3714
97	888	3690
98	895	3671
99	901	3650
100	907	3629
101	913	3608
102	918	3585
103	924	3564
104	930	3544
105	935	3523
106	942	3506
107	947	3483
108	953	3463
109	960	3447
110	967	3432
111	972	3413
112	979	3397
113	984	3378
114	991	3362
115	997	3345
116	1004	3329
117	1009	3312
118	1017	3301
119	1024	3285
120	1029	3268
121	1034	3248
122	1040	3232
123	1046	3216
124	1053	3202
125	1060	3188
126	1066	3175
127	1073	3160
128	1082	3153
129	1089	3142
130	1098	3135
131	1108	3132
132	1115	3121
133	1122	3107
134	1129	3094
135	1135	3079
136	1141	3065
137	1147	3052
138	1154	3040
139	1160	3026
140	1167	3013
141	1172	2997
142	1179	2986
143	1186	2973
144	1191	2959
145	1198	2947
146	1204	2934
147	1210	2919
148	1217	2909
149	1224	2897
150	1230	2885
151	1236	2870
152	1243	2859
153	1248	2846
154	1255	2834
155	1261	2823
156	1267	2810
157	1274	2799
158	1281	2788
159	1288	2778
160	1294	2766
161	1301	2755
162	1308	2745
163	1315	2735
164	1322	2725
165	1330	2716
166	1336	2704
167	1342	2693
168	1348	2680
169	1355	2670
170	1360	2658
171	1367	2647
172	1376	2641
173	1385	2636
174	1392	2626
175	1400	2618
176	1408	2609
177	1414	2598
178	1421	2589
179	1427	2576
180	1432	2564
181	1438	2553
182	1445	2542
183	1451	2532
184	1459	2523
185	1466	2514
186	1473	2505
187	1479	2495
188	1487	2486
189	1492	2475
190	1499	2465
191	1505	2454
192	1512	2444
193	1517	2432
194	1525	2424
195	1531	2413
196	1536	2402
197	1543	2392
198	1549	2382
199	1556	2373
200	1563	2364
201	1568	2353
202	1574	2343
203	1580	2332
204	1587	2323
205	1594	2314
206	1601	2306
207	1608	2297
208	1615	2288
209	1622	2278
210	1628	2269
211	1635	2260
212	1642	2251
213	1649	2242
214	1656	2233
215	1662	2224
216	1669	2215
217	1678	2209
218	1684	2200
219	1690	2189
220	1696	2180
221	1702	2170
222	1708	2159
223	1713	2149
224	1721	2141
225	1727	2133
226	1734	2124
227	1740	2114
228	1746	2105
229	1753	2096
230	1758	2086
231	1764	2076
232	1771	2067
233	1777	2058
234	1784	2050
235	1790	2040
236	1796	2031
237	1802	2022
238	1808	2012
239	1814	2003
240	1821	1995
241	1827	1986
242	1833	1976
243	1840	1968
244	1847	1960
245	1853	1951
246	1860	1942
247	1866	1933
248	1872	1925
249	1878	1916
250	1884	1907
251	1891	1898
252	1897	1889
253	1903	1880
254	1909	1872
255	1916	1863
256	1922	1855
257	1928	1846
258	1935	1838
259	1941	1829
260	1948	1821
261	1954	1812
