LapTimeSec,Compound,TrackName,Driver,Team,TireAge,TireAgeSq,RaceLapNumber,TrackTemp,AirTemp,Humidity,WindSpeed,GapToCarAhead,DRS_Available,CircuitLength,NumberOfCorners,RaceID,LapNumber,PitLossSec,TotalRaceLaps,StintIndex,StintID,AdjLapTimeSec
93.227,MEDIUM,Yas Island,ALB,Williams,2,4,2,34.7,28.7,62.0,3.5,0.538,0.0,5.281,16,2022_Abu Dhabi Grand Prix,2,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,93.24577185212873
92.356,MEDIUM,Yas Island,ALB,Williams,3,9,3,34.9,28.7,62.0,3.2,0.995,1.0,5.281,16,2022_Abu Dhabi Grand Prix,3,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,92.25012043983136
93.137,MEDIUM,Yas Island,ALB,Williams,4,16,4,34.3,28.7,63.0,2.5,0.915,1.0,5.281,16,2022_Abu Dhabi Grand Prix,4,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,93.04050636589572
92.652,MEDIUM,Yas Island,ALB,Williams,5,25,5,34.0,28.7,62.0,3.5,0.61,1.0,5.281,16,2022_Abu Dhabi Grand Prix,5,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,92.56489229196009
92.302,MEDIUM,Yas Island,ALB,Williams,6,36,6,34.0,28.5,62.0,3.9,1.43,0.0,5.281,16,2022_Abu Dhabi Grand Prix,6,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,92.35831555638619
91.987,MEDIUM,Yas Island,ALB,Williams,7,49,7,34.2,28.6,62.0,3.7,1.478,0.0,5.281,16,2022_Abu Dhabi Grand Prix,7,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,92.05270148245053
92.303,MEDIUM,Yas Island,ALB,Williams,8,64,8,34.0,28.5,62.0,2.4,1.528,0.0,5.281,16,2022_Abu Dhabi Grand Prix,8,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,92.3780874085149
92.406,MEDIUM,Yas Island,ALB,Williams,9,81,9,34.1,28.5,61.0,3.4,1.747,0.0,5.281,16,2022_Abu Dhabi Grand Prix,9,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,92.49047333457928
92.55,MEDIUM,Yas Island,ALB,Williams,10,100,10,34.0,28.5,62.0,2.9,1.831,0.0,5.281,16,2022_Abu Dhabi Grand Prix,10,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,92.64385926064362
93.387,MEDIUM,Yas Island,ALB,Williams,11,121,11,34.0,28.5,62.0,2.7,2.067,0.0,5.281,16,2022_Abu Dhabi Grand Prix,11,22.5,58,1,2022_Abu Dhabi Grand Prix__ALB__1,93.490245186708
91.43,HARD,Yas Island,ALB,Williams,3,9,15,33.5,28.4,62.0,3.7,5.149,0.0,5.281,16,2022_Abu Dhabi Grand Prix,15,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.57078889096545
91.585,HARD,Yas Island,ALB,Williams,4,16,16,33.3,28.4,62.0,3.0,3.434,0.0,5.281,16,2022_Abu Dhabi Grand Prix,16,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.7351748170298
91.496,HARD,Yas Island,ALB,Williams,5,25,17,33.4,28.4,63.0,2.2,3.753,0.0,5.281,16,2022_Abu Dhabi Grand Prix,17,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.65556074309417
91.836,HARD,Yas Island,ALB,Williams,6,36,18,33.4,28.4,63.0,2.4,3.887,0.0,5.281,16,2022_Abu Dhabi Grand Prix,18,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,92.00494666915853
91.691,HARD,Yas Island,ALB,Williams,7,49,19,33.3,28.3,63.0,2.4,4.24,0.0,5.281,16,2022_Abu Dhabi Grand Prix,19,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.8693325952229
91.835,HARD,Yas Island,ALB,Williams,8,64,20,33.2,28.3,63.0,1.5,4.271,0.0,5.281,16,2022_Abu Dhabi Grand Prix,20,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,92.02271852128725
91.929,HARD,Yas Island,ALB,Williams,9,81,21,33.1,28.3,63.0,2.0,1.671,0.0,5.281,16,2022_Abu Dhabi Grand Prix,21,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,92.12610444735162
91.975,HARD,Yas Island,ALB,Williams,10,100,22,33.0,28.2,64.0,2.2,2.327,0.0,5.281,16,2022_Abu Dhabi Grand Prix,22,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,92.18149037341598
91.717,HARD,Yas Island,ALB,Williams,11,121,23,33.0,28.2,64.0,1.6,1.492,0.0,5.281,16,2022_Abu Dhabi Grand Prix,23,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.93287629948034
91.918,HARD,Yas Island,ALB,Williams,12,144,24,32.9,28.2,64.0,1.8,1.992,0.0,5.281,16,2022_Abu Dhabi Grand Prix,24,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,92.14326222554472
91.61,HARD,Yas Island,ALB,Williams,13,169,25,33.3,28.2,64.0,2.0,1.184,0.0,5.281,16,2022_Abu Dhabi Grand Prix,25,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.84464815160906
91.631,HARD,Yas Island,ALB,Williams,14,196,26,32.9,28.2,65.0,2.0,3.013,0.0,5.281,16,2022_Abu Dhabi Grand Prix,26,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.87503407767343
91.624,HARD,Yas Island,ALB,Williams,15,225,27,33.0,28.2,65.0,2.4,3.333,0.0,5.281,16,2022_Abu Dhabi Grand Prix,27,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.8774200037378
91.521,HARD,Yas Island,ALB,Williams,16,256,28,32.8,28.2,65.0,2.2,3.663,0.0,5.281,16,2022_Abu Dhabi Grand Prix,28,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.78380592980216
91.487,HARD,Yas Island,ALB,Williams,17,289,29,32.5,28.1,65.0,2.7,4.043,0.0,5.281,16,2022_Abu Dhabi Grand Prix,29,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.75919185586652
91.451,HARD,Yas Island,ALB,Williams,18,324,30,32.8,28.1,65.0,2.7,4.328,0.0,5.281,16,2022_Abu Dhabi Grand Prix,30,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.73257778193089
91.587,HARD,Yas Island,ALB,Williams,19,361,31,32.8,28.1,65.0,2.5,4.564,0.0,5.281,16,2022_Abu Dhabi Grand Prix,31,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.87796370799525
91.496,HARD,Yas Island,ALB,Williams,20,400,32,32.9,28.1,65.0,3.0,4.951,0.0,5.281,16,2022_Abu Dhabi Grand Prix,32,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.79634963405961
91.55,HARD,Yas Island,ALB,Williams,21,441,33,32.9,28.1,65.0,3.0,5.012,0.0,5.281,16,2022_Abu Dhabi Grand Prix,33,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.85973556012397
91.509,HARD,Yas Island,ALB,Williams,22,484,34,32.8,28.1,65.0,2.4,5.255,0.0,5.281,16,2022_Abu Dhabi Grand Prix,34,22.5,58,2,2022_Abu Dhabi Grand Prix__ALB__2,91.82812148618834
90.023,MEDIUM,Yas Island,ALB,Williams,4,16,39,32.6,28.0,65.0,3.0,9.921,0.0,5.281,16,2022_Abu Dhabi Grand Prix,39,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,90.38905111651015
89.939,MEDIUM,Yas Island,ALB,Williams,5,25,40,32.7,28.0,64.0,3.0,2.776,0.0,5.281,16,2022_Abu Dhabi Grand Prix,40,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,90.31443704257451
90.139,MEDIUM,Yas Island,ALB,Williams,6,36,41,32.4,28.0,64.0,2.2,3.226,0.0,5.281,16,2022_Abu Dhabi Grand Prix,41,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,90.52382296863887
90.378,MEDIUM,Yas Island,ALB,Williams,7,49,42,32.4,28.0,64.0,2.5,3.603,0.0,5.281,16,2022_Abu Dhabi Grand Prix,42,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,90.77220889470324
90.241,MEDIUM,Yas Island,ALB,Williams,8,64,43,32.4,28.0,65.0,1.7,3.88,0.0,5.281,16,2022_Abu Dhabi Grand Prix,43,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,90.64459482076761
90.218,MEDIUM,Yas Island,ALB,Williams,9,81,44,32.4,28.0,65.0,1.7,2.649,0.0,5.281,16,2022_Abu Dhabi Grand Prix,44,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,90.63098074683197
90.76,MEDIUM,Yas Island,ALB,Williams,10,100,45,32.3,28.0,66.0,2.0,1.441,0.0,5.281,16,2022_Abu Dhabi Grand Prix,45,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,91.18236667289634
90.896,MEDIUM,Yas Island,ALB,Williams,11,121,46,32.3,28.0,66.0,1.6,0.699,1.0,5.281,16,2022_Abu Dhabi Grand Prix,46,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,91.19371526059898
90.976,MEDIUM,Yas Island,ALB,Williams,12,144,47,32.0,28.0,66.0,2.2,5.492,0.0,5.281,16,2022_Abu Dhabi Grand Prix,47,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,91.41713852502505
91.124,MEDIUM,Yas Island,ALB,Williams,13,169,48,32.0,28.0,66.0,3.0,6.477,0.0,5.281,16,2022_Abu Dhabi Grand Prix,48,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,91.57452445108942
91.795,MEDIUM,Yas Island,ALB,Williams,14,196,49,32.3,28.0,67.0,2.5,7.425,0.0,5.281,16,2022_Abu Dhabi Grand Prix,49,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,92.25491037715378
91.925,MEDIUM,Yas Island,ALB,Williams,15,225,50,31.9,28.0,67.0,2.5,8.995,0.0,5.281,16,2022_Abu Dhabi Grand Prix,50,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,92.39429630321814
92.564,MEDIUM,Yas Island,ALB,Williams,16,256,51,32.0,28.0,67.0,2.0,10.0,0.0,5.281,16,2022_Abu Dhabi Grand Prix,51,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,93.0426822292825
93.467,MEDIUM,Yas Island,ALB,Williams,17,289,52,32.0,27.9,68.0,2.4,10.0,0.0,5.281,16,2022_Abu Dhabi Grand Prix,52,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,93.95506815534686
92.523,MEDIUM,Yas Island,ALB,Williams,18,324,53,32.1,27.9,68.0,2.7,10.0,0.0,5.281,16,2022_Abu Dhabi Grand Prix,53,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,93.02045408141123
92.825,MEDIUM,Yas Island,ALB,Williams,19,361,54,31.9,27.9,68.0,2.5,10.0,0.0,5.281,16,2022_Abu Dhabi Grand Prix,54,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,93.33184000747559
93.126,MEDIUM,Yas Island,ALB,Williams,21,441,56,31.9,27.9,67.0,2.2,10.0,0.0,5.281,16,2022_Abu Dhabi Grand Prix,56,22.5,58,4,2022_Abu Dhabi Grand Prix__ALB__4,93.65161185960433
