LapTimeSec,Compound,TrackName,Driver,Team,TireAge,TireAgeSq,RaceLapNumber,TrackTemp,AirTemp,Humidity,WindSpeed,GapToCarAhead,DRS_Available,CircuitLength,NumberOfCorners,RaceID,LapNumber,PitLossSec,TotalRaceLaps
97.853,SOFT,Sakhir,LEC,Ferrari,2,4,2,29.0,23.9,26.0,0.3,10.0,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
97.88,SOFT,Sakhir,VER,Red Bull Racing,5,25,2,29.0,23.9,26.0,0.3,1.166,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
98.649,SOFT,Sakhir,SAI,Ferrari,5,25,2,29.0,23.9,26.0,0.3,0.77,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
99.002,SOFT,Sakhir,HAM,Mercedes,4,16,2,29.0,23.9,26.0,0.3,0.549,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
98.993,SOFT,Sakhir,MAG,Haas F1 Team,2,4,2,29.0,23.9,26.0,0.3,0.778,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
99.092,SOFT,Sakhir,PER,Red Bull Racing,5,25,2,29.0,23.9,26.0,0.3,0.66,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
99.694,SOFT,Sakhir,RUS,Mercedes,5,25,2,29.0,23.9,26.0,0.3,0.452,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
100.169,SOFT,Sakhir,GAS,AlphaTauri,5,25,2,29.0,23.9,26.0,0.3,0.825,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
100.412,SOFT,Sakhir,ALO,Alpine,5,25,2,29.0,23.9,26.0,0.3,0.904,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
100.111,SOFT,Sakhir,OCO,Alpine,2,4,2,29.0,23.9,26.0,0.3,0.996,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
100.548,SOFT,Sakhir,ALB,Williams,2,4,2,29.0,23.9,26.0,0.3,1.466,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
100.697,SOFT,Sakhir,TSU,AlphaTauri,2,4,2,29.0,23.9,26.0,0.3,0.492,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
100.722,SOFT,Sakhir,MSC,Haas F1 Team,2,4,2,29.0,23.9,26.0,0.3,0.698,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
100.817,SOFT,Sakhir,BOT,Alfa Romeo,5,25,2,29.0,23.9,26.0,0.3,0.369,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
101.077,SOFT,Sakhir,HUL,Aston Martin,2,4,2,29.0,23.9,26.0,0.3,0.503,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
102.279,MEDIUM,Sakhir,NOR,McLaren,2,4,2,29.0,23.9,26.0,0.3,0.39,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
101.019,SOFT,Sakhir,STR,Aston Martin,2,4,2,29.0,23.9,26.0,0.3,0.351,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57
