LapTimeSec,Compound,TrackName,Driver,Team,TireAge,TireAgeSq,RaceLapNumber,TrackTemp,AirTemp,Humidity,WindSpeed,GapToCarAhead,DRS_Available,CircuitLength,NumberOfCorners,RaceID,LapNumber,PitLossSec,TotalRaceLaps,TyreHealth,TyreTemp_C,Psi_T,SlidingProxy,Fz_N,StintNumber
97.853,SOFT,Sakhir,LEC,Ferrari,2,4,2,29.0,23.9,26.0,0.3,10.0,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,1.3587647535228315,21546.33777889489,1
97.88,SOFT,Sakhir,VER,Red Bull Racing,5,25,2,29.0,23.9,26.0,0.3,1.166,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.1187656693088996,21428.91015291305,1
98.649,SOFT,Sakhir,SAI,Ferrari,5,25,2,29.0,23.9,26.0,0.3,0.77,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,1.7086101284556512,21181.267132288456,1
99.002,SOFT,Sakhir,HAM,Mercedes,4,16,2,29.0,23.9,26.0,0.3,0.549,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,1.9778831228381553,21036.021923669778,1
98.993,SOFT,Sakhir,MAG,Haas F1 Team,2,4,2,29.0,23.9,26.0,0.3,0.778,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,1.9176375640519805,20879.62780125236,1
99.092,SOFT,Sakhir,PER,Red Bull Racing,5,25,2,29.0,23.9,26.0,0.3,0.66,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,1.9897553416402127,20832.790072787368,1
99.694,SOFT,Sakhir,RUS,Mercedes,5,25,2,29.0,23.9,26.0,0.3,0.452,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,3.1976963186230485,20645.22284193809,1
100.169,SOFT,Sakhir,GAS,AlphaTauri,5,25,2,29.0,23.9,26.0,0.3,0.825,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,0.0,20466.983255363324,1
100.412,SOFT,Sakhir,ALO,Alpine,5,25,2,29.0,23.9,26.0,0.3,0.904,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,1.3154742052688029,20426.60572094009,1
100.111,SOFT,Sakhir,OCO,Alpine,2,4,2,29.0,23.9,26.0,0.3,0.996,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.5889997116415095,20461.9572365312,1
100.548,SOFT,Sakhir,ALB,Williams,2,4,2,29.0,23.9,26.0,0.3,1.466,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.808230557242111,20297.317870642823,1
100.697,SOFT,Sakhir,TSU,AlphaTauri,2,4,2,29.0,23.9,26.0,0.3,0.492,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.424946591695278,20451.28466721922,1
100.722,SOFT,Sakhir,MSC,Haas F1 Team,2,4,2,29.0,23.9,26.0,0.3,0.698,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.137299854372928,20489.52088454411,1
100.817,SOFT,Sakhir,BOT,Alfa Romeo,5,25,2,29.0,23.9,26.0,0.3,0.369,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.6167523809902473,20511.825431546706,1
101.077,SOFT,Sakhir,HUL,Aston Martin,2,4,2,29.0,23.9,26.0,0.3,0.503,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.1153525449948867,20498.151015066724,1
102.279,MEDIUM,Sakhir,NOR,McLaren,2,4,2,29.0,23.9,26.0,0.3,0.39,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,1.5799079253138455,20418.633635177954,1
101.019,SOFT,Sakhir,STR,Aston Martin,2,4,2,29.0,23.9,26.0,0.3,0.351,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.417235508049155,20636.82004257064,1
102.298,SOFT,Sakhir,LAT,Williams,2,4,2,29.0,23.9,26.0,0.3,0.695,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.6589242164016387,20442.083762377515,1
101.229,SOFT,Sakhir,ZHO,Alfa Romeo,2,4,2,29.0,23.9,26.0,0.3,0.24,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,2.419449477591791,20700.890543790687,1
102.59,MEDIUM,Sakhir,RIC,McLaren,2,4,2,29.0,23.9,26.0,0.3,0.227,0,5.412,15,2022_Bahrain Grand Prix,2,22.5,57,1.0,40.0,1.0,3.851414181467081,20426.702232245723,1
