StintID,RaceID,Driver,Compound,NumLaps,Slope_s_per_lap,Intercept
2022_Abu Dhabi Grand Prix__ALB__1,2022_Abu Dhabi Grand Prix,ALB,MEDIUM,10,0.008122653794216833,92.59870006824744
2022_Abu Dhabi Grand Prix__ALB__2,2022_Abu Dhabi Grand Prix,ALB,HARD,20,-0.0005990363416523166,91.88134314284754
2022_Abu Dhabi Grand Prix__ALB__4,2022_Abu Dhabi Grand Prix,ALB,MEDIUM,18,0.23565370211886932,88.95651727321189
2022_Abu Dhabi Grand Prix__ALO__1,2022_Abu Dhabi Grand Prix,ALO,MEDIUM,16,0.06135287567938421,91.6499729388889
2022_Abu Dhabi Grand Prix__ALO__2,2022_Abu Dhabi Grand Prix,ALO,HARD,6,-0.10523944493320414,91.7224614288644
2022_Abu Dhabi Grand Prix__BOT__1,2022_Abu Dhabi Grand Prix,BOT,HARD,28,0.019804139718965327,92.83189187631565
2022_Abu Dhabi Grand Prix__BOT__2,2022_Abu Dhabi Grand Prix,BOT,MEDIUM,6,-0.02315693107849199,91.79085397240706
2022_Abu Dhabi Grand Prix__BOT__3,2022_Abu Dhabi Grand Prix,BOT,MEDIUM,17,-0.01439758134890726,91.91385518958378
2022_Abu Dhabi Grand Prix__GAS__1,2022_Abu Dhabi Grand Prix,GAS,SOFT,11,0.08557012032374513,92.15679238440464
2022_Abu Dhabi Grand Prix__GAS__2,2022_Abu Dhabi Grand Prix,GAS,HARD,22,0.01878883971508319,91.70367963449048
2022_Abu Dhabi Grand Prix__GAS__3,2022_Abu Dhabi Grand Prix,GAS,HARD,19,0.13227663008735616,88.17959074715291
2022_Abu Dhabi Grand Prix__HAM__1,2022_Abu Dhabi Grand Prix,HAM,MEDIUM,14,0.11743674205232574,90.53920079178299
2022_Abu Dhabi Grand Prix__HAM__2,2022_Abu Dhabi Grand Prix,HAM,HARD,19,-0.018028109023356133,90.70981684459711
2022_Abu Dhabi Grand Prix__HAM__3,2022_Abu Dhabi Grand Prix,HAM,HARD,14,0.055689639252583086,89.1394030071867
2022_Abu Dhabi Grand Prix__LAT__1,2022_Abu Dhabi Grand Prix,LAT,MEDIUM,13,0.038954527156134705,93.18490124100067
2022_Abu Dhabi Grand Prix__LAT__2,2022_Abu Dhabi Grand Prix,LAT,HARD,21,0.028179432557869116,92.02412395590052
2022_Abu Dhabi Grand Prix__LAT__3,2022_Abu Dhabi Grand Prix,LAT,MEDIUM,14,0.18899911287754925,90.30752453110512
2022_Abu Dhabi Grand Prix__LEC__1,2022_Abu Dhabi Grand Prix,LEC,MEDIUM,19,0.05586838220471364,90.67495614035087
2022_Abu Dhabi Grand Prix__LEC__2,2022_Abu Dhabi Grand Prix,LEC,HARD,16,0.009055043711422066,90.33106032970456
2022_Abu Dhabi Grand Prix__LEC__3,2022_Abu Dhabi Grand Prix,LEC,HARD,19,0.00909469799418728,90.19615357015864
2022_Abu Dhabi Grand Prix__MAG__1,2022_Abu Dhabi Grand Prix,MAG,HARD,26,0.05039111089341568,92.71402871586747
2022_Abu Dhabi Grand Prix__MAG__2,2022_Abu Dhabi Grand Prix,MAG,MEDIUM,8,-0.04059026441182719,92.5306749774212
2022_Abu Dhabi Grand Prix__MAG__3,2022_Abu Dhabi Grand Prix,MAG,MEDIUM,18,0.11375515065255108,90.18078383257436
